[4, 3, 2, 0], 6 guesses, 102 seconds
[1, 0, 5, 1], 7 guesses, 1 seconds
[6, 7, 3, 1], 6 guesses, 32 seconds
[6, 2, 4, 4], 5 guesses, 1 seconds
[7, 0, 5, 4], 5 guesses, 88 seconds
[4, 3, 0, 7], 4 guesses, 87 seconds
[3, 5, 0, 5], 4 guesses, 1 seconds
[3, 6, 4, 0], 6 guesses, 88 seconds
[5, 6, 4, 6], 5 guesses, 100 seconds
[6, 7, 1, 3], 5 guesses, 87 seconds
[6, 0, 2, 5], 5 guesses, 30 seconds
[6, 7, 0, 6], 6 guesses, 99 seconds
[6, 6, 3, 0], 5 guesses, 30 seconds
[0, 2, 4, 6], 6 guesses, 13 seconds
[2, 2, 2, 7], 4 guesses, 1 seconds
[2, 5, 5, 6], 5 guesses, 99 seconds
[5, 4, 0, 5], 5 guesses, 31 seconds
[2, 5, 2, 1], 6 guesses, 88 seconds
[3, 4, 7, 5], 5 guesses, 31 seconds
[7, 1, 3, 0], 3 guesses, 0 seconds
[2, 1, 7, 7], 6 guesses, 13 seconds
[4, 0, 0, 7], 5 guesses, 99 seconds
[4, 1, 1, 1], 5 guesses, 13 seconds
[5, 5, 6, 2], 6 guesses, 99 seconds
[0, 5, 3, 3], 7 guesses, 0 seconds
[0, 6, 4, 4], 6 guesses, 13 seconds
[7, 2, 7, 6], 4 guesses, 1 seconds
[1, 4, 1, 6], 6 guesses, 99 seconds
[5, 0, 4, 6], 5 guesses, 87 seconds
[3, 0, 3, 4], 6 guesses, 31 seconds
[4, 7, 1, 1], 5 guesses, 99 seconds
[7, 5, 3, 5], 6 guesses, 1 seconds
[0, 6, 3, 3], 6 guesses, 1 seconds
[3, 3, 6, 7], 5 guesses, 99 seconds
[0, 1, 5, 0], 5 guesses, 0 seconds
[7, 1, 3, 2], 4 guesses, 1 seconds
[0, 0, 2, 5], 4 guesses, 1 seconds
[1, 4, 0, 6], 5 guesses, 88 seconds
[5, 0, 7, 3], 5 guesses, 1 seconds
[4, 0, 3, 4], 4 guesses, 31 seconds
[4, 7, 4, 7], 5 guesses, 1 seconds
[5, 2, 4, 6], 5 guesses, 100 seconds
[1, 0, 4, 2], 5 guesses, 87 seconds
[4, 0, 0, 0], 6 guesses, 99 seconds
[0, 3, 6, 0], 6 guesses, 31 seconds
[6, 2, 4, 2], 5 guesses, 1 seconds
[6, 6, 1, 0], 6 guesses, 87 seconds
[5, 3, 5, 0], 6 guesses, 1 seconds
[6, 0, 1, 5], 4 guesses, 0 seconds
[2, 3, 1, 4], 6 guesses, 88 seconds
[4, 5, 1, 6], 5 guesses, 87 seconds
[2, 1, 1, 0], 5 guesses, 30 seconds
[3, 6, 2, 0], 6 guesses, 88 seconds
