[3, 4, 2, 4], 5 guesses, 99 seconds
[2, 7, 5, 1], 6 guesses, 86 seconds
[2, 5, 0, 3], 4 guesses, 1 seconds
[5, 6, 7, 1], 6 guesses, 88 seconds
[4, 3, 5, 2], 6 guesses, 87 seconds
[4, 5, 2, 2], 6 guesses, 99 seconds
[4, 7, 3, 5], 5 guesses, 1 seconds
[0, 7, 7, 0], 5 guesses, 13 seconds
[1, 5, 5, 4], 6 guesses, 86 seconds
[6, 6, 5, 0], 6 guesses, 87 seconds
[3, 5, 2, 7], 3 guesses, 86 seconds
[4, 0, 6, 6], 6 guesses, 98 seconds
[0, 4, 7, 2], 6 guesses, 13 seconds
[5, 4, 1, 1], 6 guesses, 86 seconds
[5, 0, 0, 3], 6 guesses, 1 seconds
[6, 4, 5, 0], 5 guesses, 87 seconds
[1, 4, 6, 1], 6 guesses, 98 seconds
[2, 5, 7, 4], 4 guesses, 97 seconds
[0, 7, 6, 6], 7 guesses, 13 seconds
[2, 7, 7, 1], 4 guesses, 97 seconds
[7, 1, 5, 2], 3 guesses, 30 seconds
[4, 1, 5, 6], 6 guesses, 30 seconds
[2, 4, 7, 4], 5 guesses, 1 seconds
[0, 5, 1, 6], 4 guesses, 1 seconds
[2, 3, 0, 6], 6 guesses, 87 seconds
[2, 0, 6, 7], 6 guesses, 98 seconds
[3, 5, 7, 1], 5 guesses, 1 seconds
[2, 7, 7, 3], 5 guesses, 98 seconds
[1, 1, 4, 3], 6 guesses, 30 seconds
[3, 4, 4, 1], 5 guesses, 87 seconds
[5, 1, 2, 1], 6 guesses, 30 seconds
[6, 1, 3, 1], 4 guesses, 1 seconds
[5, 1, 1, 3], 7 guesses, 1 seconds
[5, 7, 0, 7], 5 guesses, 87 seconds
[1, 5, 4, 0], 5 guesses, 1 seconds
[1, 0, 3, 4], 5 guesses, 1 seconds
[6, 3, 4, 6], 4 guesses, 98 seconds
[2, 5, 7, 0], 4 guesses, 87 seconds
[4, 1, 3, 5], 8 guesses, 0 seconds
[0, 7, 0, 7], 7 guesses, 13 seconds
[2, 7, 6, 6], 5 guesses, 2 seconds
[1, 6, 5, 0], 4 guesses, 1 seconds
[4, 1, 0, 5], 3 guesses, 0 seconds
[0, 2, 1, 4], 6 guesses, 30 seconds
[1, 6, 7, 4], 4 guesses, 97 seconds
[4, 1, 4, 7], 5 guesses, 13 seconds
[1, 3, 4, 0], 5 guesses, 1 seconds
[2, 1, 0, 2], 4 guesses, 30 seconds
[1, 1, 7, 2], 6 guesses, 13 seconds
[5, 6, 2, 4], 5 guesses, 97 seconds
[0, 5, 4, 3], 8 guesses, 1 seconds
[7, 0, 5, 2], 6 guesses, 87 seconds
[3, 7, 2, 5], 5 guesses, 30 seconds
[7, 6, 3, 5], 6 guesses, 1 seconds
[2, 2, 6, 0], 5 guesses, 97 seconds
[6, 5, 4, 3], 6 guesses, 86 seconds
[0, 6, 0, 7], 5 guesses, 13 seconds
[1, 5, 6, 3], 5 guesses, 1 seconds
[7, 3, 4, 6], 5 guesses, 97 seconds
[7, 3, 1, 7], 5 guesses, 86 seconds
[4, 2, 0, 5], 4 guesses, 30 seconds
[5, 5, 0, 6], 6 guesses, 86 seconds
[7, 3, 0, 1], 6 guesses, 1 seconds
[6, 5, 2, 5], 4 guesses, 13 seconds
[5, 3, 7, 0], 5 guesses, 1 seconds
